date,state,daily,cummulative
8/1/22,AZ,5740,13200453
8/1/22,NM,1729,4193920
8/1/22,KS,2328,4820082
8/1/22,SC,3813,7893107
8/1/22,MT,518,1669632
8/1/22,TN,4131,10434376
8/1/22,GA,3618,15699138
8/1/22,MS,1767,4046898
8/1/22,RI,795,2359657
8/1/22,US,244054,608231492
8/1/22,MO,3871,9405082
8/1/22,CO,4985,11454412
8/1/22,MP,25,111724
8/1/22,TX,21622,48116616
8/1/22,MI,6582,16675481
8/1/22,KY,3126,6817282
8/1/22,NJ,5751,18030339
8/1/22,WI,5300,10876061
8/1/22,LA,2367,6509392
8/1/22,VI,54,150144
8/1/22,SD,995,1497121
8/1/22,DE,896,1918816
8/1/22,WV,1004,2850946
8/1/22,MN,5556,11017370
8/1/22,NV,1819,5110864
8/1/22,MH,306,84230
7/1/22,MD,7131,12739910
7/1/22,SC,3580,7784169
7/1/22,OH,7458,18562773
7/1/22,VA,8590,17171910
7/1/22,MH,71,79574
7/1/22,AZ,6681,13018539
7/1/22,NJ,7200,17833802
7/1/22,IL,11027,23453203
7/1/22,VT,712,1492691
7/1/22,FM,446,149028
7/1/22,NH,767,2583416
7/1/22,KY,2789,6724894
7/1/22,MP,48,110703
7/1/22,TX,25809,47390859
7/1/22,ID,1120,2567417
7/1/22,PW,42,49290
7/1/22,GU,105,372026
7/1/22,IA,2394,5309374
7/1/22,CO,7291,11295493
7/1/22,ME,1314,3014876
7/1/22,OR,4016,8174992
7/1/22,AK,539,1190159
7/1/22,KS,2485,4746932
7/1/22,CT,2768,7901225
7/1/22,AR,2021,4395620
7/1/22,MI,6423,16483246
7/1/22,FL,13539,38871231
7/1/22,NE,1711,3348306
7/1/22,US,281197,600491056
7/1/22,AS,43,112356
7/1/22,CA,47947,77587273
7/1/22,ND,482,1138592
7/1/22,SD,801,1473603
7/1/22,MN,5866,10861767
7/1/22,OK,2826,6104137
7/1/22,AL,2889,6459603
7/1/22,IN,4006,10177498
7/1/22,WI,5052,10728650
7/1/22,LA,2497,6437126
7/1/22,NY,12835,40671073
7/1/22,UT,2941,5480306
7/1/22,HI,1759,3115032
7/1/22,DC,1283,1820677
7/1/22,NV,1995,5051477
7/1/22,TN,4216,10307223
7/1/22,PR,2424,7405365
7/1/22,DE,770,1893742
7/1/22,PA,10253,24330459
7/1/22,WY,437,769564
7/1/22,MS,1705,3993082
7/1/22,NC,7917,17296790
7/1/22,NM,1891,4138265
7/1/22,MA,6537,15481121
7/1/22,GA,6858,15511593
7/1/22,WV,915,2822306
7/1/22,WA,8090,15181848
7/1/22,VI,26,149530
7/1/22,RI,841,2334687
7/1/22,MT,720,1650760
7/1/22,MO,4501,9273648
6/1/22,WV,1462,2795006
6/1/22,NJ,9495,17644025
6/1/22,FL,21046,38465820
6/1/22,NE,2315,3304166
6/1/22,CT,4675,7809931
6/1/22,KS,2837,4687387
6/1/22,OK,2648,6042125
6/1/22,CO,11243,11087991
6/1/22,NH,1425,2555186
6/1/22,US,376460,592925569
6/1/22,MO,5281,9152131
6/1/22,DC,1361,1788319
6/1/22,WY,413,760779
6/1/22,MS,1820,3949146
6/1/22,MD,9880,12544808
6/1/22,AS,50,111543
6/1/22,CA,58406,76389634
6/1/22,ND,849,1124147
6/1/22,PR,3376,7338290
6/1/22,DE,1460,1870427
6/1/22,GA,9020,15336157
6/1/22,WA,11652,14948277
6/1/22,NM,3502,4070744
6/1/22,MA,10940,15272193
6/1/22,RI,1191,2309780
6/1/22,AR,2280,4345615
6/1/22,MH,230,76958
6/1/22,VI,66,148702
6/1/22,AL,3032,6394520
6/1/22,LA,3668,6365535
6/1/22,AZ,8466,12845719
6/1/22,OH,10470,18354980
6/1/22,MT,1107,1631406
6/1/22,IN,5757,10064717
6/1/22,FM,77,141057
6/1/22,MP,28,109846
6/1/22,TX,25297,46796357
6/1/22,PA,16387,24030440
6/1/22,NY,18806,40285677
6/1/22,UT,3162,5416398
6/1/22,AK,631,1176832
6/1/22,IA,3284,5242533
6/1/22,MN,9372,10697366
6/1/22,VA,10685,16945082
6/1/22,ME,2390,2974302
6/1/22,OR,5908,8060581
6/1/22,PW,0,48313
6/1/22,SD,1124,1452796
6/1/22,NV,2675,4992725
6/1/22,KY,3663,6650441
6/1/22,ID,1639,2536028
6/1/22,GU,403,366079
6/1/22,TN,5121,10204341
6/1/22,SC,4650,7687994
6/1/22,WI,8605,10582126
6/1/22,NC,10747,17078683
6/1/22,IL,14514,23163813
6/1/22,VT,1111,1472850
6/1/22,HI,2639,3065220
6/1/22,MI,9225,16302209
5/1/22,KY,714,6549869
5/1/22,VI,0,146633
5/1/22,NJ,4594,17331503
5/1/22,FL,12633,37816677
5/1/22,CA,17880,74797539
5/1/22,PW,0,47828
5/1/22,HI,1066,2990095
5/1/22,OR,1799,7884044
5/1/22,ME,596,2892493
5/1/22,UT,548,5332790
5/1/22,IA,802,5146208
5/1/22,KS,864,4609106
5/1/22,CT,2410,7649411
5/1/22,OH,4094,18032966
5/1/22,AS,1,109861
5/1/22,GA,3415,15097492
5/1/22,ND,3,1109565
5/1/22,FM,148,133508
5/1/22,NE,579,3246132
5/1/22,AK,111,1160106
5/1/22,TX,10968,46105548
5/1/22,NY,9518,39674910
5/1/22,MI,3269,15999584
5/1/22,US,136347,582105667
5/1/22,DC,618,1748725
5/1/22,IN,1663,9918122
5/1/22,MT,152,1603277
5/1/22,WA,3162,14621895
5/1/22,NV,1238,4910067
5/1/22,DE,472,1828151
5/1/22,VA,4753,16617513
5/1/22,WV,260,2752523
5/1/22,LA,564,6273597
5/1/22,WI,1564,10356462
5/1/22,NC,3280,16767549
5/1/22,OK,865,5961093
5/1/22,PR,973,7237426
5/1/22,VT,278,1439964
5/1/22,MS,386,3894569
5/1/22,CO,2200,10867739
5/1/22,SD,128,1423828
5/1/22,NM,969,3987149
5/1/22,MD,4775,12233306
5/1/22,AZ,3846,12605309
5/1/22,MP,0,109186
5/1/22,MN,2009,10443717
5/1/22,WY,59,749173
5/1/22,AR,287,4283221
5/1/22,MH,139,74871
5/1/22,RI,696,2264025
5/1/22,GU,27,359116
5/1/22,IL,6086,22734990
5/1/22,MA,6067,14929292
5/1/22,TN,1800,10057158
5/1/22,SC,1307,7556267
5/1/22,MO,1405,8996595
5/1/22,AL,804,6311223
5/1/22,PA,5421,23556003
5/1/22,NH,712,2501929
5/1/22,ID,289,2494562
4/1/22,UT,4950,5273858
4/1/22,KY,5533,6431931
4/1/22,OK,6137,5849970
4/1/22,PA,27734,23003067
4/1/22,SC,7699,7405879
4/1/22,US,667267,568979449
4/1/22,MI,20756,15617143
4/1/22,MA,15561,14524260
4/1/22,IA,7639,5016873
4/1/22,GU,221,351878
4/1/22,ME,4765,2784522
4/1/22,AL,4997,6213798
4/1/22,TN,9477,9868954
4/1/22,TX,49769,45255230
4/1/22,NM,5051,3879734
4/1/22,AK,1797,1135238
4/1/22,WA,18904,14249362
4/1/22,FM,705,125959
4/1/22,CO,13709,10612674
4/1/22,SD,1796,1386921
4/1/22,MS,2215,3838345
4/1/22,ID,2832,2444372
4/1/22,DC,2644,1702523
4/1/22,IN,10981,9729194
4/1/22,MT,1466,1567953
4/1/22,OH,19709,17642300
4/1/22,NE,3677,3177167
4/1/22,NH,3155,2432777
4/1/22,CT,9886,7433745
4/1/22,CA,92908,72937085
4/1/22,FL,48036,36939291
4/1/22,DE,2698,1777162
4/1/22,VA,20679,16233873
4/1/22,WV,3277,2696367
4/1/22,PW,62,47553
4/1/22,OR,10249,7653401
4/1/22,MN,13035,10152165
4/1/22,AR,5962,4191301
4/1/22,MD,15621,11928289
4/1/22,MP,85,108062
4/1/22,AS,293,106306
4/1/22,MO,9450,8813323
4/1/22,VI,163,142446
4/1/22,ND,540,1095197
4/1/22,VT,1496,1398192
4/1/22,WY,837,734736
4/1/22,RI,2636,2209277
4/1/22,GA,14660,14812111
4/1/22,NY,37593,38831130
4/1/22,AZ,16475,12293234
4/1/22,KS,5771,4510252
4/1/22,PR,4715,7113532
4/1/22,LA,4853,6183445
4/1/22,MH,103,68879
4/1/22,IL,26856,22245833
4/1/22,NV,5745,4807748
4/1/22,WI,11788,10084841
4/1/22,NC,18435,16394492
4/1/22,NJ,19204,16943836
4/1/22,HI,3269,2903423
3/1/22,MP,41,106485
3/1/22,WY,375,727050
3/1/22,UT,2582,5206723
3/1/22,IN,4652,9613019
3/1/22,MT,639,1553340
3/1/22,SD,759,1368511
3/1/22,CO,5368,10492522
3/1/22,ID,1129,2416511
3/1/22,MS,1733,3799556
3/1/22,TN,4268,9767518
3/1/22,OR,3738,7563270
3/1/22,NM,2442,3826529
3/1/22,TX,23634,44602391
3/1/22,SC,3636,7321485
3/1/22,GA,6682,14640656
3/1/22,WV,953,2670547
3/1/22,VT,392,1386631
3/1/22,OH,6664,17457121
3/1/22,NV,2159,4747334
3/1/22,IL,11149,21980595
3/1/22,PA,9879,22778052
3/1/22,NC,6753,16208379
3/1/22,WI,4863,9976641
3/1/22,MN,4758,10037800
3/1/22,GU,238,347035
3/1/22,ND,306,1087146
3/1/22,DE,986,1754296
3/1/22,VA,6950,16050260
3/1/22,DC,1296,1675718
3/1/22,FL,15082,36512976
3/1/22,AR,1923,4141915
3/1/22,MO,3912,8720126
3/1/22,US,285236,562016477
3/1/22,OK,2639,5781725
3/1/22,NY,19308,38399564
3/1/22,VI,76,140927
3/1/22,AL,2273,6154057
3/1/22,MH,1,62480
3/1/22,NJ,9342,16731376
3/1/22,RI,1082,2182645
3/1/22,AK,512,1120175
3/1/22,WA,7285,14061011
3/1/22,ME,1172,2751448
3/1/22,IA,2000,4962166
3/1/22,CA,50951,71835784
3/1/22,KS,1912,4461525
3/1/22,PR,5535,7054336
3/1/22,AZ,7178,12117843
3/1/22,FM,198,112807
3/1/22,PW,61,47043
3/1/22,MA,7586,14348839
3/1/22,HI,1145,2872041
3/1/22,MI,5933,15453899
3/1/22,KY,2810,6364583
3/1/22,CT,3621,7329587
3/1/22,MD,6969,11770461
3/1/22,LA,1386,6114932
3/1/22,NH,684,2411192
3/1/22,NE,1329,3144102
3/1/22,AS,52,90810
2/1/22,TN,8652,9622945
2/1/22,OR,8802,7430241
